id,input_text,labels
kzp_train_010852,бүгін қытай халық республикасы ауыл шаруашылығы министрінің шақыруымен қр премьер-министрінің орынбасары ауыл шаруашылығы министрі а мырзахметов жұмыс сапарымен бейжіңге барды,O O O O O O O O O O O O O O PERIOD O O O O PERIOD
kzp_train_015083,адамзат қоғамы әлеуметтік қатынастарды үздіксіз реттеу арқылы дамиды әрбір ұлт та сондай әсіресе бөлініп-жарылған халықтардың құрамдас бөліктері қашан да тарихи отанындағы елмен этникалық байланысын сақтауға және солардың қолдауымен өздерін дамуға құлшыныс жасайды,O O O O O O O PERIOD O O O COMMA COMMA O O O O O O O O O O O O O O O O O O PERIOD
kzp_train_045492,олар қайтадан басқа өсімдіктердің гүліндегі аналығының аузына түсіп зақымдайды,O O O O O O O COMMA PERIOD
kzp_train_031134,қазіргі таңда періште емені саябаққа айналған саябақ жылы чарлстон қаласының үлесіне кіреді,O O O O O PERIOD O O O O O PERIOD
kzp_train_050910,бұл ақ орда деп аталды арал теңізінің солтүстігіндегі жерлерді інісі шайбаниға берді,O O O O PERIOD O O O O O O PERIOD
kzp_train_046463,қарақұм түрікмен қарақұмы түрікменше гарагум орталық азияда түрікменстанның 80%-дай аумағын алып жатқан құмды алқап шөл солтүстік және солтүстік-шығысы сарықамыс ойысы әмудария аңғары оңтүстік-шығысы қарабел және бадхыз қыраттары оңтүстігі копетдаг етегі батысы батыс узбоймен шектелген,COMMA O O O O O COMMA O O O O O O COMMA PERIOD O O O O COMMA O COMMA O O O O COMMA O O COMMA O O O PERIOD
kzp_train_053985,“құтты білік” дастаны орта ғасырларда бүкіл түркі әлеміне түсінікті болған қарахан әулеті мемлекеті түріктерінің тілінде жазылған жүсіп баласағұн құтты білікті жылдары баласағұн қаласында бастап он сегіз айдың ішінде қашқар қаласында аяқтаған,O O O O O O O O O O O O O O O PERIOD O O O O O O O COMMA O O O O O O PERIOD
kzp_train_027876,өнімдерді шығару қарқынын өсуі шығындардың өсу қарқынынан артып кетуі нені білдіреді,O O O COMMA O O O O O O QUESTION
kzp_train_035551,лас-вегас ақш-тың қай штатында орналасқан,O O O O QUESTION
kzp_train_041809,хорасаннан оғыздар еліне лазуритке ұқсас малахит пен азурит әкелінген,O O O O O O O O PERIOD
kzp_train_056106,қандай тайпалар vі ғ византияға шапқыншылық жасады,O O O PERIOD O O QUESTION
kzp_train_021056,жоғарыда сөз алған зиялы қауым өкілдері а.асқаровтың елі үшін жасаған көптеген еңбектері туралы тебірене сөз қозғады а.асқаров атындағы №77 мектеп оқушыларының дайындап келген әдеби композиция орындалды,O O O O O O O O O O O O O O O PERIOD O O O O O O O O O PERIOD
kzp_train_047032,ж әлемде үш миллиард адам болған осылайша үшінші миллиардқа жету үшін небәрі жыл уақыт кеткен ж,PERIOD O O O O O COMMA O O O O O O O COMMA PERIOD
kzp_train_052642,алманов; сырдария облысында т рысқұлов; орал облысында ә,O O O PERIOD O O O PERIOD
kzp_train_024901,банк русурстарының құрамындағы меншікті капитал үлесі тартылған қаражаттарға қарағанда өте төмен болғандықтан барлық қаражаттарға деген қажеттілігінің 10% жуық бөлігі өтелсе ал қалған бөлігі тартылған қаражаттардың үлесіне тиеді,O O O O O O O O O O O O O O O O O O O COMMA O O O O O O PERIOD
kzp_train_011265,бір жерге баратын болсам өзіммен бірге алып барамын деп айтқанмын бірақ бұл жерде болашақ жарым туралы айтып отырмын” деп түсіндірді тәуекел мүсілім,O O O COMMA O O O O O PERIOD O O O O O O O COMMA O O O PERIOD
kzp_train_045325,сабын алу үшін қатты майлар қолданылады қатты майлар бағалы тамақ өнімдері сондықтан құрамында қанықпаған қышқылдары бар сұйық майларды қатты майларға айналдырады,O O O O O PERIOD O O O O COMMA O O O O O O O O O PERIOD
kzp_train_014894,ол бірінші кезекте қызметінен босағасын шетелге демалуға кетпек болған бұрынғы премьер-министр мен оның әйеліне ел аумағынан шығуға тыйым салды арада көп өтпей полиция бұрынғы үкімет басшысының ісімен айналыса бастады,O O O O O O O O O O O O O O O O O O PERIOD O O O O O O O O O PERIOD
kzp_train_001618,әбілязов кінәлі деп танылып жылға бас бостандығынан айыру мен аек көлеміндегі айыппұлды төлеу жазасына кесілсін бұдан бөлек оның барлық мүлкі тәркіленіп үш жылға дейін банк қызметімен айналысуға тыйым салынсын,O O O COMMA O O O O O O O O O O PERIOD O COMMA O O O COMMA O O O O O O O PERIOD
kzp_train_040121,сондықтан қантарату жүйесі тұйықталмаған ашық жүйелі зәршығару жүйесі бездер арқылы жүзеге асады,COMMA O O O O PERIOD O O O O O PERIOD
kzp_train_033200,жылдың париж көрмесінің атынан фр exposition internationale des arts décoratifs et industriels modernes қаз,O O O O PERIOD O O O O O O O COMMA PERIOD
kzp_train_032677,полистер олигарх мыс. спарта немесе демократиялық мыс. афины түрінде болды,O PERIOD COMMA O O O COMMA O O PERIOD
kzp_train_008490,пештің ақауы екі баланың иіс тиіп улануына себепші болды деп хабарлады қр тжм баспасөз қызметі,O O O O O COMMA O O COMMA O O O O O PERIOD
kzp_train_043418,корей мемлекеттілігі біздің дәуірімізге дейінгі ғасырлардан басталады екінші дүниежүзілік соғыстың нәтижесі бойынша корея бұрын жапония империясының қол астында болған кезде ксро-ның қарамағына өткен солтүстік бөлікке ал оңтүстік бөлігі ақш-тың қарамағына бөлінді,O O O O O O PERIOD O O O O O O O O O O O O O O O O O COMMA O O O O O PERIOD
kzp_train_018289,қазақ тұтынушылар қоғамының қарағанды экономикалық университеті қараганды қ,O O O O O O O PERIOD
kzp_train_019271,шарт ғылыми зерттеу және конструкторлық қызметтегі зор күш-жігер жеке,PERIOD O O O O O O O O
kzp_train_007100,абай есімін түркі тілдес шығыс халықтарына таныстыруда қазан қаласы елеулі қызмет атқарды осында жарық көрген«кнәз блан зағифа атты қисса кітапта м,O O O O O O O O O O O PERIOD O O O O O O O O PERIOD
kzp_train_042910,зерені ырғызбай тұқымдары барша ауыл адамдары “кәрі әже” деп атаған қартайған шағында құлағы естімей қалған зере немерелеріне дұға оқытып үшкіртеді екен,O O COMMA O O O O O O PERIOD O O O O O O O O COMMA O PERIOD
kzp_train_020314,конвертті ашып ішіндегі мұғалімнің аты жөнін оқиды музыка ойналады,O COMMA O O O O PERIOD O PERIOD
kzp_train_035593,сөйлеу әрекетінің әрқилы түрлерінің жүйелі бұзылуын білдіреді а,O O O O O O PERIOD PERIOD
kzp_train_055947,осы бағдарлама аясында еуропадағы қауіпсіздік пен ынтымақтастық жөніндегі ұйым басшылығының өкілдері қазақстанға бірнеше рет іссапармен келді еуропадағы қауіпсіздік пен ынтымақтастық жөніндегі ұйым басшыларының қазақстанға алғашқы ресми сапары жылы болды,O O O O O O O O O O O O O O O PERIOD O O O O O O O O O O O O PERIOD
kzp_train_017802,студия қонағы қр идм құрылыс және тұрғын үй-коммуналдық шаруашылық істері комитетінің бас сарапшысы сара құрманғожина,O O O O O O O O O O O O O O PERIOD
kzp_train_051677,ол ақтөбе облысының шалқар станциясына жақын маңда жерленді,O O O O O O O PERIOD
kzp_train_026533,"жас келіншектер болса жас шамасы аралығында.иманды болса текті,тәрбие көрген болса бастысы.87013818174",O O PERIOD O O O COMMA O O O O
kzp_train_038542,ювентус футбол командасы қай елден шыққан,O O O O O QUESTION
kzp_train_014720,ол бірнеше секунд ішінде қашып үлгерді телефонымды да ақшамды да ешнәрсе алмаған,O O O O O PERIOD O COMMA O COMMA O PERIOD
kzp_train_020770,шаншардың шаншар болып қалыптасуына мұрындық болдым идея тастадым ауылда жүрген жүсіп пен уәлиді алматыға жетектеп апарып тамашаға қатыстырдым,O O O O O COMMA O PERIOD O O O O O O O COMMA O PERIOD
kzp_train_042976,қамар сұлу романының авторы кім,O O O O QUESTION
kzp_train_024441,құстар біздің досымыз деп көлемді кітап жазған көкеміз құс асырай ма үйінде,O O O O O O O O O O O QUESTION
kzp_train_025750,коркоран бала кезінде құдайдан оқып үйренуін сұрап дұға еткен жетінші сыныпта ол үй тапсырмасын орындап беретін адамдармен дос болу керектігін түсінді,O O O O O O COMMA O PERIOD O O O O O O O O O O O PERIOD
kzp_train_038955,түрлердің әртүрлілігі қайда көбірек болады,O O O O QUESTION
kzp_train_017155,бір ғана тиянақты ойды білдіретін жеке сөйлемді жай сөйлем дейді,O O O O O O O O O PERIOD
kzp_train_049132,шамасында іле алқабында өз мемлекетін құрды олар қаңлы мемлекетімен шектесті,O O O O O PERIOD O O O PERIOD
kzp_train_015767,егер кездейсоқ болсын менің жазбамды тыңдағандардың ішінде кішкентай ғана бүлдіршіннің өліміне кінәлілер болса өтініп сұраймыз жерлеу рәсіміне келіңіздер! өздеріңіздің қандай қылмыс жасағандарыңызды көріңіздер! деді қыздың әкесі,O O COMMA O O O O O O O O O COMMA O COMMA O O O O O O O COMMA O O PERIOD
kzp_train_045353,көз нервтерінің астыңғы жағынан тап сол жұтқыншақ үсті түйіннің алдыңғы жақ бетінің өзінен хелицералардың қос нерві шығады,O O O O O O O O O O O O O O O O PERIOD
kzp_train_024980,алматы қалалық сотының апелляциялық алқасы бүгін сот шешімімен үш айға жабылған adam журналының шағымын қанағаттандырмады тамыз айының соңында алматының мамандандырылған ауданаралық әкімшілік соты қалалық,O O O O O O O O O O O O O O PERIOD O O O O O O O O O
kzp_train_027338,республиканың пилотты мектебінде оқу жылында оқу бағдарламалары мен стандартты апробациялауды бастаймыз мектептің 20-сында мектепалды даярлық кластары бар оларда да стандарт пен оқу бағдарламаларын апробациялау жоспарлануда деп толықтырды орта және мектепке дейінгі білім департаментінің директоры,O O O O O O O O O O PERIOD O O O O O COMMA O O O O O O O COMMA O O O O O O O O PERIOD
kzp_train_024629,тәсілдерін басынан кешірді бірақ сонда да олар кеудесінен жаны ұшып кетсе,O O PERIOD O O O O O O O O
kzp_train_031144,психология саладан ғылым ретінде пайда болды ма,O O O O O O QUESTION
kzp_train_025354,мақсаты: әлемнің ақпараттық бейнесі ақпараттық жүйелер жəне ресурстар туралы білім беру,O O O COMMA O O O O O O PERIOD
kzp_train_030182,мультфильм америкалық прокатқа қараша жылы шығып көрсетілім уақытында млн көп жинап жылдың ең кассалы фильмі атанған әлем бойынша барлығы млн жинаған,O O O O O COMMA O O O O COMMA O O O O PERIOD O O O O PERIOD
kzp_train_010500,азықтарды ұсақтамаңыз себебі бұл пышақтың өткірлігіне әсер етеді,O COMMA O O O O O PERIOD
kzp_train_037576,қытай қорғанының шығысы ляудұңның жолбарыс тауынан басталып батысы гансудағы жяйүйгуанға дейін барады жалпы ұзындығы км артық vii ғ-дан хvii ғ-ға дейінгі жылда шамамен патшалық әулеті құрылыс салып осы қорғанды жасаған.қытай қорғаны қытайдағы ежелгі қорғаныс құрылысы,O O O O O O COMMA O O O O COMMA O O O PERIOD O O O O O COMMA O O O O COMMA O O O O O O O PERIOD
kzp_train_026963,ішкі конкурс өткізу кезінде хабарландыру конкурс жариялаған мемлекеттік органның және уәкілетті органның интернет-ресурсында орналастырылады,O O O O O O O O O O O O O PERIOD
